Player,Team,Pos,Est. Return,Injury,Status,Next Game (EST)
Matt Dumba,ARI,D,Subscribers Only,Concussion,Out,Sep 23 12:05 AM
Travis Dermott,ARI,D,Subscribers Only,Undisclosed,Out,Sep 23 12:05 AM
Shea Weber,ARI,D,Subscribers Only,Ankle,IR-LT,Sep 23 12:05 AM
David Rittich,LA,G,Subscribers Only,Ankle,Out,Sep 23 12:05 AM
Akil Thomas,LA,C,Subscribers Only,Shoulder,Out,Sep 23 12:05 AM
Marco Scandella,STL,D,Subscribers Only,Lower Body,Out,Sep 23 3:00 PM
Robert Bortuzzo,STL,D,Subscribers Only,Upper Body,Out,Sep 23 3:00 PM
Erik Gudbranson,CLS,D,Subscribers Only,Shoulder,Out,Sep 24 1:00 PM
Boone Jenner,CLS,LW,Subscribers Only,Back,Out,Sep 24 1:00 PM
Elvis Merzlikins,CLS,G,Subscribers Only,Lower Body,Out,Sep 24 1:00 PM
Patrik Laine,CLS,RW,Subscribers Only,Triceps,Out,Sep 24 1:00 PM
Jake Bean,CLS,D,Subscribers Only,Shoulder,IR,Sep 24 1:00 PM
Mathieu Olivier,CLS,RW,Subscribers Only,Lower Leg,Out,Sep 24 1:00 PM
Justin Danforth,CLS,RW,Subscribers Only,Shoulder,IR,Sep 24 1:00 PM
Eric Robinson,CLS,LW,Subscribers Only,Upper Body,Out,Sep 24 1:00 PM
Nick Blankenburg,CLS,D,Subscribers Only,Ankle,Out,Sep 24 1:00 PM
Bryan Rust,PIT,RW,Subscribers Only,Hand,Out,Sep 24 1:00 PM
Andreas Johnsson,PIT,LW,Subscribers Only,Lower Body,Out,Sep 24 1:00 PM
Henri Jokiharju,BUF,D,Subscribers Only,Lower Body,Day-To-Day,Sep 24 2:00 PM
Mattias Samuelsson,BUF,D,Subscribers Only,Hand,Out,Sep 24 2:00 PM
Travis Hamonic,OTT,D,Subscribers Only,Lower Body,Out,Sep 24 2:00 PM
Thomas Chabot,OTT,D,Subscribers Only,Wrist,Out,Sep 24 2:00 PM
Jakob Chychrun,OTT,D,Subscribers Only,Hamstring,Day-To-Day,Sep 24 2:00 PM
Josh Norris,OTT,C,Subscribers Only,Shoulder,IR,Sep 24 2:00 PM
Parker Kelly,OTT,C,Subscribers Only,Kneecap,Out,Sep 24 2:00 PM
Ilya Samsonov,TOR,G,Subscribers Only,Neck,Out,Sep 24 2:00 PM
Nick Robertson,TOR,LW,Subscribers Only,Shoulder,IR-LT,Sep 24 2:00 PM
Matthew Knies,TOR,LW,Subscribers Only,Concussion,Day-To-Day,Sep 24 2:00 PM
Jake Muzzin,TOR,D,Subscribers Only,Neck,IR-LT,Sep 24 2:00 PM
T.J. Oshie,WAS,RW,Subscribers Only,Back,Out,Sep 24 2:00 PM
Max Pacioretty,WAS,LW,Subscribers Only,Achilles,IR-LT,Sep 24 2:00 PM
Anthony Mantha,WAS,RW,Subscribers Only,Lower Body,Out,Sep 24 2:00 PM
Trevor van Riemsdyk,WAS,D,Subscribers Only,Upper Body,Out,Sep 24 2:00 PM
Nic Dowd,WAS,C,Subscribers Only,Abdomen,Out,Sep 24 2:00 PM
Charlie Lindgren,WAS,G,Subscribers Only,Upper Body,Out,Sep 24 2:00 PM
Rasmus Sandin,WAS,D,Subscribers Only,Leg,Day-To-Day,Sep 24 2:00 PM
Andrew Cogliano,COL,LW,Subscribers Only,Neck,Out,Sep 24 3:00 PM
Ryan Johansen,COL,C,Subscribers Only,Leg,Out,Sep 24 3:00 PM
Josh Manson,COL,D,Subscribers Only,Undisclosed,Out,Sep 24 3:00 PM
Artturi Lehkonen,COL,LW,Subscribers Only,Toe,Out,Sep 24 3:00 PM
Pavel Francouz,COL,G,Subscribers Only,Groin,Out,Sep 24 3:00 PM
Frederick Gaudreau,MIN,C,Subscribers Only,Abdomen,Out,Sep 24 3:00 PM
Joel Eriksson Ek,MIN,C,Subscribers Only,Leg,Out,Sep 24 3:00 PM
Samuel Walker,MIN,RW,Subscribers Only,Shoulder,Out,Sep 24 3:00 PM
Kyle Masters,MIN,D,Subscribers Only,Lower Body,Out,Sep 24 3:00 PM
Alex Belzile,NYR,LW,Subscribers Only,Leg,Out,Sep 24 5:00 PM
Filip Chytil,NYR,C,Subscribers Only,Upper Body,Out,Sep 24 5:00 PM
Evgenii Dadonov,DAL,RW,Subscribers Only,Knee,Out,Sep 24 6:00 PM
Jani Hakanpaa,DAL,D,Subscribers Only,Knee,Out,Sep 24 6:00 PM
Lian Bichsel,DAL,D,Subscribers Only,Ankle,Out,Sep 24 6:00 PM
Sam Gagner,EDM,C,Subscribers Only,Hip,Out,Sep 24 6:00 PM
Connor Brown,EDM,RW,Subscribers Only,Knee,IR-LT,Sep 24 6:00 PM
Warren Foegele,EDM,LW,Subscribers Only,Wrist,Out,Sep 24 6:00 PM
Lane Pederson,EDM,C,Subscribers Only,Upper Body,Out,Sep 24 6:00 PM
Mark Scheifele,WPG,C,Subscribers Only,Upper Body,Out,Sep 24 6:00 PM
Laurent Brossoit,WPG,G,Subscribers Only,Lower Body,Out,Sep 24 6:00 PM
Jeffrey Viel,WPG,LW,Subscribers Only,Upper Body,Out,Sep 24 6:00 PM
Cole Perfetti,WPG,LW,Subscribers Only,Upper Body,IR,Sep 24 6:00 PM
Chaz Lucius,WPG,C,Subscribers Only,Shoulder,Out,Sep 24 6:00 PM
Mason McTavish,ANH,C,Subscribers Only,Upper Body,Day-To-Day,Sep 24 8:00 PM
Radko Gudas,ANH,D,Subscribers Only,Ankle,Out,Sep 24 8:00 PM
Scott Harrington,ANH,D,Subscribers Only,Upper Body,Out,Sep 24 8:00 PM
Brock McGinn,ANH,LW,Subscribers Only,Upper Body,Day-To-Day,Sep 24 8:00 PM
Urho Vaakanainen,ANH,D,Subscribers Only,Hip,IR,Sep 24 8:00 PM
