player_id,cluster
acciano01,grinder
addisca01,grinder
ahose01,skill
ahose02,defensive
alexani01,grinder
alexeal01,defensive
alliswa01,grinder
amadimi01,grinder
amanni01,grinder
anderja01,grinder
anderjo05,grinder
anderjo08,grinder
anderli01,grinder
andermi02,defensive
anderra01,defensive
applema01,grinder
archijo01,grinder
armiajo01,grinder
arvidvi01,skill
asplura01,grinder
astonza01,grinder
athanan01,grinder
atkinca01,skill
aubekni01,grinder
audymjo01,skill
backlmi01,skill
backsni02,skill
bahlke01,defensive
bailejo01,grinder
baileju01,grinder
balceru01,grinder
barabal01,grinder
barbaiv01,grinder
barkoal01,skill
barreal01,grinder
barrity01,skill
barroju01,defensive
barromo01,grinder
barzama01,skill
bastina01,grinder
bathedr01,skill
bayrega01,defensive
beaglja01,grinder
beanja01,defensive
bearet01,defensive
beaulna01,defensive
beauvan01,grinder
bedarco01,skill
beechjo01,grinder
bellepi01,grinder
belloki01,grinder
belzial01,grinder
bemstem01,grinder
beniema01,skill
bennesa01,skill
bennima01,defensive
bennja01,skill
bennjo01,defensive
benoisi01,defensive
bensoty01,grinder
bensoza01,grinder
bergepa01,skill
berggjo02,grinder
bernaja01,defensive
berniti01,defensive
bertuty01,skill
bjorkan01,grinder
bjorkma01,defensive
bjorkol01,skill
bjornto01,defensive
bjugsni01,grinder
blackco01,grinder
blaissa01,grinder
blankni01,defensive
blidhan01,grinder
bluegte01,grinder
boesebr01,skill
bogosza01,defensive
boldusa01,grinder
boldyma01,skill
boninni01,grinder
boqviad01,defensive
boqvije01,grinder
borgewi01,defensive
borgshe01,grinder
borowma01,defensive
borturo01,defensive
bouchev01,skill
boydtr01,grinder
boylebr01,grinder
bozakty01,grinder
branner01,defensive
brassde01,grinder
brattje01,skill
braunju01,defensive
brinkbo01,grinder
brobeph01,grinder
brodijo01,defensive
broditj01,defensive
brodzjo01,grinder
brookad01,grinder
brownco02,skill
browndu01,grinder
brownjo01,defensive
brownlo01,grinder
brownpa02,grinder
brysoja01,defensive
buchnpa01,skill
bunnaco01,grinder
buntimi01,skill
burakan01,skill
burnsbr01,skill
burroky01,defensive
butchwi01,defensive
byfiequ01,grinder
byrambo01,defensive
byronpa01,grinder
caggidr01,grinder
capobky01,grinder
carcomi01,grinder
carlobr01,defensive
carlsga01,grinder
carlsjo01,skill
carlslu01,grinder
carpery01,grinder
carrial01,defensive
carrisa01,grinder
carriwi01,grinder
carteje01,grinder
catesno01,grinder
caufico01,skill
cecico01,defensive
cernaer01,defensive
chaboth01,skill
charazd01,defensive
chartro01,grinder
chatfja01,grinder
chiarbe01,defensive
chiasal01,grinder
chinaye01,grinder
chrisja01,grinder
chychja01,skill
chytifi01,grinder
cirelan01,skill
cizikca01,grinder
claguka01,grinder
cliffky01,grinder
cliftco01,defensive
cluttca01,grinder
coghldy01,grinder
coglian01,grinder
coleia01,defensive
colembl01,grinder
coltoro01,grinder
comeabl01,grinder
comphj.01,skill
comtoma01,grinder
connake01,grinder
connobr01,grinder
connoky01,skill
coolelo01,skill
coppan01,skill
cottepa01,grinder
cousini01,grinder
coutulo01,skill
coutuse01,skill
coylech01,skill
cozendy01,skill
crosbsi01,skill
crousla01,grinder
cuyllwi01,grinder
czarnau01,grinder
dachki01,skill
dadonev01,grinder
dahlejo01,grinder
dahlira01,skill
danauph01,skill
danfoju01,grinder
dauphla01,grinder
deangan01,skill
deangan01,skill
debrial01,skill
debruja01,skill
dehaaca01,defensive
dekeyda01,defensive
dellaty01,grinder
delzomi01,defensive
demeldy01,defensive
demerja01,defensive
dermotr01,grinder
deshavi01,defensive
deslani01,grinder
dewarco01,grinder
dickija01,grinder
digiuph01,grinder
dillobr01,defensive
dineeca01,defensive
djoosch01,grinder
