home,away,date_recorded,time_recorded,date_game,bet_type,odds
TBL,NSH,2023-10-10,09:48:36,2023-10-10,NSH,220
TBL,NSH,2023-10-10,09:48:36,2023-10-10,draw,340
TBL,NSH,2023-10-10,09:48:36,2023-10-10,TBL,-110
PIT,CHI,2023-10-10,09:48:36,2023-10-10,CHI,290
PIT,CHI,2023-10-10,09:48:36,2023-10-10,draw,370
PIT,CHI,2023-10-10,09:48:36,2023-10-10,PIT,-145
VGK,SEA,2023-10-10,09:48:36,2023-10-10,SEA,210
VGK,SEA,2023-10-10,09:48:36,2023-10-10,draw,330
VGK,SEA,2023-10-10,09:48:36,2023-10-10,VGK,-105
TOR,MTL,2023-10-11,11:22:57,2023-10-11,MTL,360
TOR,MTL,2023-10-11,11:22:57,2023-10-11,draw,400
TOR,MTL,2023-10-11,11:22:57,2023-10-11,TOR,-185
CAR,OTT,2023-10-11,11:22:57,2023-10-11,OTT,265
CAR,OTT,2023-10-11,11:22:57,2023-10-11,draw,350
CAR,OTT,2023-10-11,11:22:57,2023-10-11,CAR,-130
BOS,CHI,2023-10-11,11:22:57,2023-10-11,CHI,425
BOS,CHI,2023-10-11,11:22:57,2023-10-11,draw,400
BOS,CHI,2023-10-11,11:22:57,2023-10-11,BOS,-210
VAN,EDM,2023-10-11,11:22:57,2023-10-11,EDM,-105
VAN,EDM,2023-10-11,11:22:57,2023-10-11,draw,350
VAN,EDM,2023-10-11,11:22:57,2023-10-11,VAN,200
LAK,COL,2023-10-11,11:22:57,2023-10-11,COL,130
LAK,COL,2023-10-11,11:22:57,2023-10-11,draw,330
LAK,COL,2023-10-11,11:22:57,2023-10-11,LAK,155
CGY,WPG,2023-10-11,11:22:57,2023-10-11,WPG,170
CGY,WPG,2023-10-11,11:22:57,2023-10-11,draw,330
CGY,WPG,2023-10-11,11:22:57,2023-10-11,CGY,115
NJD,DET,2023-10-12,11:01:46,2023-10-12,DET,320
NJD,DET,2023-10-12,11:01:46,2023-10-12,draw,380
NJD,DET,2023-10-12,11:01:46,2023-10-12,NJD,-160
CBJ,PHI,2023-10-12,11:01:46,2023-10-12,PHI,155
CBJ,PHI,2023-10-12,11:01:46,2023-10-12,draw,330
CBJ,PHI,2023-10-12,11:01:46,2023-10-12,CBJ,125
BUF,NYR,2023-10-12,11:01:46,2023-10-12,NYR,120
BUF,NYR,2023-10-12,11:01:46,2023-10-12,draw,340
BUF,NYR,2023-10-12,11:01:46,2023-10-12,BUF,160
DAL,STL,2023-10-12,11:01:46,2023-10-12,STL,275
DAL,STL,2023-10-12,11:01:46,2023-10-12,draw,360
DAL,STL,2023-10-12,11:01:46,2023-10-12,DAL,-140
NSH,SEA,2023-10-12,11:01:46,2023-10-12,SEA,150
NSH,SEA,2023-10-12,11:01:46,2023-10-12,draw,320
NSH,SEA,2023-10-12,11:01:46,2023-10-12,NSH,135
MIN,FLA,2023-10-12,11:01:46,2023-10-12,FLA,165
MIN,FLA,2023-10-12,11:01:46,2023-10-12,draw,330
MIN,FLA,2023-10-12,11:01:46,2023-10-12,MIN,120
SJS,VGK,2023-10-12,11:01:46,2023-10-12,VGK,-155
SJS,VGK,2023-10-12,11:01:46,2023-10-12,draw,370
SJS,VGK,2023-10-12,11:01:46,2023-10-12,SJS,310
