date_recorded,time_recorded,date_game,home,away,bet_type,line,odds
2023-02-13,14:00:00,2023-02-13,OTT Senators,CGY Flames,O,6.5,−115
2023-02-13,14:00:00,2023-02-13,OTT Senators,CGY Flames,U,6.5,−105
2023-02-13,14:00:00,2023-02-13,NSH Predators,ARI Coyotes,O,6,−105
2023-02-13,14:00:00,2023-02-13,NSH Predators,ARI Coyotes,U,6,−115
2023-02-13,14:00:00,2023-02-13,MIN Wild,FLA Panthers,O,6.5,−120
2023-02-13,14:00:00,2023-02-13,MIN Wild,FLA Panthers,U,6.5,+100
2023-02-13,14:00:00,2023-02-13,VAN Canucks,DET Red Wings,O,6.5,−130
2023-02-13,14:00:00,2023-02-13,VAN Canucks,DET Red Wings,U,6.5,+105
2023-02-13,14:00:00,2023-02-13,LA Kings,BUF Sabres,O,6.5,−140
2023-02-13,14:00:00,2023-02-13,LA Kings,BUF Sabres,U,6.5,+110
