team,game_id,date,season,location,G,OT_status,win_flag
PIT,231010_PITCHI,2023-10-10,2024,H,2,,0
TBL,231010_TBLNSH,2023-10-10,2024,H,5,,1
VGK,231010_VGKSEA,2023-10-10,2024,H,4,,1
BOS,231011_BOSCHI,2023-10-11,2024,H,3,,1
CAR,231011_CAROTT,2023-10-11,2024,H,5,,1
CGY,231011_CGYWPG,2023-10-11,2024,H,5,,1
LAK,231011_LAKCOL,2023-10-11,2024,H,2,,0
TOR,231011_TORMTL,2023-10-11,2024,H,6,SO,1
VAN,231011_VANEDM,2023-10-11,2024,H,8,,1
BUF,231012_BUFNYR,2023-10-12,2024,H,1,,0
CBJ,231012_CBJPHI,2023-10-12,2024,H,2,,0
DAL,231012_DALSTL,2023-10-12,2024,H,2,SO,1
MIN,231012_MINFLA,2023-10-12,2024,H,2,,1
NJD,231012_NJDDET,2023-10-12,2024,H,4,,1
NSH,231012_NSHSEA,2023-10-12,2024,H,3,,1
SJS,231012_SJSVGK,2023-10-12,2024,H,1,,0
NJD,231013_NJDARI,2023-10-13,2024,H,3,SO,0
WSH,231013_WSHPIT,2023-10-13,2024,H,0,,0
BOS,231014_BOSNSH,2023-10-14,2024,H,3,,1
CBJ,231014_CBJNYR,2023-10-14,2024,H,5,,1
DET,231014_DETTBL,2023-10-14,2024,H,6,,1
EDM,231014_EDMVAN,2023-10-14,2024,H,3,,0
LAK,231014_LAKCAR,2023-10-14,2024,H,5,SO,0
MTL,231014_MTLCHI,2023-10-14,2024,H,3,,1
NYI,231014_NYIBUF,2023-10-14,2024,H,3,,1
OTT,231014_OTTPHI,2023-10-14,2024,H,5,,1
PIT,231014_PITCGY,2023-10-14,2024,H,5,,1
SJS,231014_SJSCOL,2023-10-14,2024,H,1,SO,0
STL,231014_STLSEA,2023-10-14,2024,H,2,SO,1
TOR,231014_TORMIN,2023-10-14,2024,H,7,,1
VGK,231014_VGKANA,2023-10-14,2024,H,4,,1
WPG,231014_WPGFLA,2023-10-14,2024,H,6,,1
ANA,231015_ANACAR,2023-10-15,2024,H,6,,1
OTT,231015_OTTTBL,2023-10-15,2024,H,5,,1
CBJ,231016_CBJDET,2023-10-16,2024,H,0,,0
NJD,231016_NJDFLA,2023-10-16,2024,H,3,,0
NYR,231016_NYRARI,2023-10-16,2024,H,2,,1
TOR,231016_TORCHI,2023-10-16,2024,H,1,,0
WSH,231016_WSHCGY,2023-10-16,2024,H,3,SO,1
BUF,231017_BUFTBL,2023-10-17,2024,H,3,OT,1
MTL,231017_MTLMIN,2023-10-17,2024,H,2,,0
NSH,231017_NSHEDM,2023-10-17,2024,H,1,,0
