date_game,team,ml_odds
2021-01-13,PIT,-110
2021-01-13,PHI,100
2021-01-13,MTL,132
2021-01-13,TOR,-145
2021-01-13,CHI,230
2021-01-13,TBL,-260
2021-01-13,VAN,135
2021-01-13,EDM,-150
2021-01-13,STL,135
2021-01-13,COL,-150
2021-01-14,BOS,-138
2021-01-14,NJD,118
2021-01-14,WSH,113
2021-01-14,BUF,-133
2021-01-14,NYI,-110
2021-01-14,NYR,-110
2021-01-14,CAR,-205
2021-01-14,DET,172
2021-01-14,CGY,-110
2021-01-14,WPG,-110
2021-01-14,CBJ,100
2021-01-14,NSH,-120
2021-01-14,SJS,-105
2021-01-14,ARI,-115
2021-01-14,VAN,100
2021-01-14,EDM,-120
2021-01-14,MIN,-115
2021-01-14,LAK,-105
2021-01-14,ANA,180
2021-01-14,VGK,-215
2021-01-15,PIT,-107
2021-01-15,PHI,-113
2021-01-15,WSH,-133
2021-01-15,BUF,113
2021-01-15,CHI,245
2021-01-15,TBL,-300
2021-01-15,TOR,-155
2021-01-15,OTT,135
2021-01-15,STL,133
2021-01-15,COL,-153
2021-01-16,BOS,-185
2021-01-16,NJD,160
2021-01-16,SJS,107
2021-01-16,ARI,-127
2021-01-16,MTL,-110
2021-01-16,EDM,-110
2021-01-16,TOR,-210
2021-01-16,OTT,176
2021-01-16,NYI,-117
2021-01-16,NYR,-103
2021-01-16,CAR,-220
2021-01-16,DET,184
2021-01-16,CBJ,-102
2021-01-16,NSH,-118
2021-01-16,MIN,-145
2021-01-16,LAK,125
2021-01-16,VAN,110
2021-01-16,CGY,-130
2021-01-16,ANA,192
2021-01-16,VGK,-230
2021-01-17,WSH,105
2021-01-17,PIT,-125
2021-01-17,CHI,140
2021-01-17,FLA,-160
2021-01-18,CBJ,-165
2021-01-18,DET,144
2021-01-18,BOS,-133
2021-01-18,NYI,113
2021-01-18,WPG,135
2021-01-18,TOR,-155
2021-01-18,BUF,144
2021-01-18,PHI,-165
2021-01-18,SJS,166
2021-01-18,STL,-195
2021-01-18,CAR,-118
2021-01-18,NSH,-102
2021-01-18,MTL,-110
2021-01-18,EDM,-110
2021-01-18,VAN,115
2021-01-18,CGY,-135
2021-01-18,MIN,-133
2021-01-18,ANA,113
2021-01-18,ARI,160
2021-01-18,VGK,-185
2021-01-19,NJD,129
2021-01-19,NYR,-149
2021-01-19,CHI,143
2021-01-19,FLA,-164
2021-01-19,BUF,134
2021-01-19,PHI,-154
2021-01-19,WPG,-110
2021-01-19,OTT,-110
2021-01-19,WSH,104
2021-01-19,PIT,-124
2021-01-19,CBJ,-179
2021-01-19,DET,154
2021-01-19,COL,-229
2021-01-19,LAK,191
2021-01-20,EDM,130
2021-01-20,TOR,-150
2021-01-20,SJS,151
2021-01-20,STL,-175
2021-01-20,MIN,-130
2021-01-20,ANA,110
2021-01-20,MTL,-120
2021-01-20,VAN,100
2021-01-20,ARI,172
2021-01-20,VGK,-205
2021-01-21,WPG,-127
2021-01-21,OTT,107
2021-01-21,PHI,113
2021-01-21,BOS,-133
2021-01-21,TBL,-175
2021-01-21,CBJ,151
2021-01-21,NJD,125
2021-01-21,NYI,-145
2021-01-21,MTL,-128
2021-01-21,VAN,108
2021-01-21,COL,-280
2021-01-21,LAK,230
2021-01-22,BUF,-135
2021-01-22,WSH,115
2021-01-22,NYR,140
2021-01-22,PIT,-160
2021-01-22,EDM,132
2021-01-22,TOR,-152
2021-01-22,SJS,143
2021-01-22,MIN,-163
2021-01-22,DET,120
2021-01-22,CHI,-140
2021-01-22,NSH,-105
2021-01-22,DAL,-115
2021-01-22,VGK,-155
2021-01-22,ARI,135
2021-01-22,COL,-220
2021-01-22,ANA,184
2021-01-23,MTL,-150
2021-01-23,VAN,130
2021-01-23,PHI,140
2021-01-23,BOS,-160
2021-01-23,TBL,-170
2021-01-23,CBJ,148
2021-01-23,LAK,172
