Unnamed: 0,date_recorded,time_recorded,game_id,date_game,time_game,team,ml_odds
0.0,2023-02-13,14:00:00,1,2023-02-13,,CGY Flames,−165
1.0,2023-02-13,14:00:00,1,2023-02-13,,OTT Senators,+140
2.0,2023-02-13,14:00:00,2,2023-02-13,,ARI Coyotes,+200
3.0,2023-02-13,14:00:00,2,2023-02-13,,NSH Predators,−240
4.0,2023-02-13,14:00:00,3,2023-02-13,,FLA Panthers,−110
5.0,2023-02-13,14:00:00,3,2023-02-13,,MIN Wild,−110
6.0,2023-02-13,14:00:00,4,2023-02-13,,DET Red Wings,−105
7.0,2023-02-13,14:00:00,4,2023-02-13,,VAN Canucks,−115
8.0,2023-02-13,14:00:00,5,2023-02-13,,BUF Sabres,+125
9.0,2023-02-13,14:00:00,5,2023-02-13,,LA Kings,−145
10.0,2023-02-14,17:07:23,6,2023-02-14,,CAR Hurricanes,−170
11.0,2023-02-14,17:07:23,6,2023-02-14,,WAS Capitals,+145
12.0,2023-02-14,17:07:23,7,2023-02-14,,CHI Blackhawks,+120
13.0,2023-02-14,17:07:23,7,2023-02-14,,MTL Canadiens,−140
14.0,2023-02-14,17:07:23,8,2023-02-14,,NJ Devils,−205
15.0,2023-02-14,17:07:23,8,2023-02-14,,CBJ Blue Jackets,+175
16.0,2023-02-14,17:07:23,9,2023-02-14,,OTT Senators,+170
17.0,2023-02-14,17:07:23,9,2023-02-14,,NY Islanders,−200
18.0,2023-02-14,17:07:23,10,2023-02-14,,FLA Panthers,−140
19.0,2023-02-14,17:07:23,10,2023-02-14,,STL Blues,+120
20.0,2023-02-14,17:07:23,11,2023-02-14,,SEA Kraken,+110
21.0,2023-02-14,17:07:23,11,2023-02-14,,WPG Jets,−130
22.0,2023-02-14,17:07:23,12,2023-02-14,,BOS Bruins,−125
23.0,2023-02-14,17:07:23,12,2023-02-14,,DAL Stars,+105
24.0,2023-02-14,17:07:23,13,2023-02-14,,TB Lightning,−125
25.0,2023-02-14,17:07:23,13,2023-02-14,,COL Avalanche,+105
26.0,2023-02-14,17:07:23,14,2023-02-14,,PIT Penguins,−165
27.0,2023-02-14,17:07:23,14,2023-02-14,,SJ Sharks,+140
28.0,2023-02-15,16:51:02,15,2023-02-15,,CHI Blackhawks,+450
29.0,2023-02-15,16:51:02,15,2023-02-15,,TOR Maple Leafs,−600
30.0,2023-02-15,16:51:02,16,2023-02-15,,TB Lightning,−250
31.0,2023-02-15,16:51:02,16,2023-02-15,,ARI Coyotes,+210
32.0,2023-02-15,16:51:02,17,2023-02-15,,DET Red Wings,+205
33.0,2023-02-15,16:51:02,17,2023-02-15,,EDM Oilers,−245
34.0,2023-02-15,16:51:02,18,2023-02-15,,COL Avalanche,+120
35.0,2023-02-15,16:51:02,18,2023-02-15,,MIN Wild,−140
36.0,2023-02-15,16:51:02,19,2023-02-15,,NY Rangers,−195
37.0,2023-02-15,16:51:02,19,2023-02-15,,VAN Canucks,+165
38.0,2023-02-15,16:51:02,20,2023-02-15,,BUF Sabres,−210
39.0,2023-02-15,16:51:02,20,2023-02-15,,ANA Ducks,+180
40.0,2023-02-16,13:46:00,21,2023-02-16,18:00:00,MTL Canadiens,+350
41.0,2023-02-16,13:46:00,21,2023-02-16,18:00:00,CAR Hurricanes,−435
42.0,2023-02-16,13:46:00,22,2023-02-16,18:08:00,WPG Jets,−190
43.0,2023-02-16,13:46:00,22,2023-02-16,18:08:00,CBJ Blue Jackets,+160
44.0,2023-02-16,13:46:00,23,2023-02-16,18:08:00,FLA Panthers,−120
45.0,2023-02-16,13:46:00,23,2023-02-16,18:08:00,WAS Capitals,+100
46.0,2023-02-16,13:46:00,24,2023-02-16,19:00:00,BOS Bruins,−180
47.0,2023-02-16,13:46:00,24,2023-02-16,19:00:00,NSH Predators,+155
