,date_recorded,time_recorded,game_id,date_game,time_game,team,pl_line,pl_odds
0,2023-02-13,14:00:00,1,2023-02-13,,CGY Flames,-1.5,+145
1,2023-02-13,14:00:00,1,2023-02-13,,OTT Senators,1.5,−195
2,2023-02-13,14:00:00,2,2023-02-13,,ARI Coyotes,1.5,−120
3,2023-02-13,14:00:00,2,2023-02-13,,NSH Predators,-1.5,+100
4,2023-02-13,14:00:00,3,2023-02-13,,FLA Panthers,1.5,−290
5,2023-02-13,14:00:00,3,2023-02-13,,MIN Wild,-1.5,+205
6,2023-02-13,14:00:00,4,2023-02-13,,DET Red Wings,1.5,−260
7,2023-02-13,14:00:00,4,2023-02-13,,VAN Canucks,-1.5,+185
8,2023-02-13,14:00:00,5,2023-02-13,,BUF Sabres,1.5,−220
9,2023-02-13,14:00:00,5,2023-02-13,,LA Kings,-1.5,+160
10,2023-02-14,17:07:23,6,2023-02-14,,CAR Hurricanes,-1.5,+145
11,2023-02-14,17:07:23,6,2023-02-14,,WAS Capitals,1.5,−195
12,2023-02-14,17:07:23,7,2023-02-14,,CHI Blackhawks,1.5,−225
13,2023-02-14,17:07:23,7,2023-02-14,,MTL Canadiens,-1.5,+165
14,2023-02-14,17:07:23,8,2023-02-14,,NJ Devils,-1.5,+115
15,2023-02-14,17:07:23,8,2023-02-14,,CBJ Blue Jackets,1.5,−145
16,2023-02-14,17:07:23,9,2023-02-14,,OTT Senators,1.5,−155
17,2023-02-14,17:07:23,9,2023-02-14,,NY Islanders,-1.5,+125
18,2023-02-14,17:07:23,10,2023-02-14,,FLA Panthers,-1.5,+170
19,2023-02-14,17:07:23,10,2023-02-14,,STL Blues,1.5,−235
20,2023-02-14,17:07:23,11,2023-02-14,,SEA Kraken,1.5,−225
21,2023-02-14,17:07:23,11,2023-02-14,,WPG Jets,-1.5,+165
22,2023-02-14,17:07:23,12,2023-02-14,,BOS Bruins,-1.5,+195
23,2023-02-14,17:07:23,12,2023-02-14,,DAL Stars,1.5,−275
24,2023-02-14,17:07:23,13,2023-02-14,,TB Lightning,-1.5,+195
25,2023-02-14,17:07:23,13,2023-02-14,,COL Avalanche,1.5,−275
26,2023-02-14,17:07:23,14,2023-02-14,,PIT Penguins,-1.5,+140
27,2023-02-14,17:07:23,14,2023-02-14,,SJ Sharks,1.5,−185
28,2023-02-15,16:51:02,15,2023-02-15,,CHI Blackhawks,2.5,−110
29,2023-02-15,16:51:02,15,2023-02-15,,TOR Maple Leafs,-2.5,−110
30,2023-02-15,16:51:02,16,2023-02-15,,TB Lightning,-1.5,+100
31,2023-02-15,16:51:02,16,2023-02-15,,ARI Coyotes,1.5,−120
32,2023-02-15,16:51:02,17,2023-02-15,,DET Red Wings,1.5,−120
33,2023-02-15,16:51:02,17,2023-02-15,,EDM Oilers,-1.5,+100
34,2023-02-15,16:51:02,18,2023-02-15,,COL Avalanche,1.5,−220
35,2023-02-15,16:51:02,18,2023-02-15,,MIN Wild,-1.5,+160
36,2023-02-15,16:51:02,19,2023-02-15,,NY Rangers,-1.5,+125
37,2023-02-15,16:51:02,19,2023-02-15,,VAN Canucks,1.5,−155
38,2023-02-15,16:51:02,20,2023-02-15,,BUF Sabres,-1.5,+105
39,2023-02-15,16:51:02,20,2023-02-15,,ANA Ducks,1.5,−130
40,2023-02-16,13:46:00,21,2023-02-16,18:00:00,MTL Canadiens,1.5,+135
41,2023-02-16,13:46:00,21,2023-02-16,18:00:00,CAR Hurricanes,-1.5,−175
42,2023-02-16,13:46:00,22,2023-02-16,18:08:00,WPG Jets,-1.5,+125
43,2023-02-16,13:46:00,22,2023-02-16,18:08:00,CBJ Blue Jackets,1.5,−155
44,2023-02-16,13:46:00,23,2023-02-16,18:08:00,FLA Panthers,-1.5,+180
45,2023-02-16,13:46:00,23,2023-02-16,18:08:00,WAS Capitals,1.5,−250
46,2023-02-16,13:46:00,24,2023-02-16,19:00:00,BOS Bruins,-1.5,+130
47,2023-02-16,13:46:00,24,2023-02-16,19:00:00,NSH Predators,1.5,−165
48,2023-02-16,13:46:00,25,2023-02-16,20:00:00,DET Red Wings,1.5,−130
49,2023-02-16,13:46:00,25,2023-02-16,20:00:00,CGY Flames,-1.5,+105
50,2023-02-16,13:46:00,26,2023-02-16,20:00:00,NJ Devils,-1.5,+150
51,2023-02-16,13:46:00,26,2023-02-16,20:00:00,STL Blues,1.5,−205
52,2023-02-16,13:46:00,27,2023-02-16,21:00:00,SJ Sharks,1.5,−155
53,2023-02-16,13:46:00,27,2023-02-16,21:00:00,VGK Golden Knights,-1.5,+125
54,2023-02-16,13:46:00,28,2023-02-16,21:00:00,PHI Flyers,1.5,−155
55,2023-02-16,13:46:00,28,2023-02-16,21:00:00,SEA Kraken,-1.5,+125
56,2023-02-17,10:05:42,29,2023-02-17,18:08:00,CHI Blackhawks,1.5,−110
57,2023-02-17,10:05:42,29,2023-02-17,18:08:00,OTT Senators,-1.5,−110
58,2023-02-17,10:05:42,30,2023-02-17,18:08:00,PIT Penguins,1.5,−290
59,2023-02-17,10:05:42,30,2023-02-17,18:08:00,NY Islanders,-1.5,+205
60,2023-02-17,10:05:42,31,2023-02-17,19:08:00,DAL Stars,1.5,−315
61,2023-02-17,10:05:42,31,2023-02-17,19:08:00,MIN Wild,-1.5,+220
62,2023-02-17,10:05:42,32,2023-02-17,20:08:00,LA Kings,-1.5,−110
63,2023-02-17,10:05:42,32,2023-02-17,20:08:00,ANA Ducks,1.5,−110
64,2023-02-17,10:05:42,33,2023-02-17,20:08:00,NY Rangers,1.5,−240
65,2023-02-17,10:05:42,33,2023-02-17,20:08:00,EDM Oilers,-1.5,+175
66,2023-02-18,10:12:07,34,2023-02-18,13:00:00,FLA Panthers,-1.5,+180
67,2023-02-18,10:12:07,34,2023-02-18,13:00:00,NSH Predators,1.5,−250
68,2023-02-18,10:12:07,35,2023-02-18,13:00:00,COL Avalanche,-1.5,+135
69,2023-02-18,10:12:07,35,2023-02-18,13:00:00,STL Blues,1.5,−175
70,2023-02-18,10:12:07,36,2023-02-18,16:08:00,NY Islanders,1.5,−120
71,2023-02-18,10:12:07,36,2023-02-18,16:08:00,BOS Bruins,-1.5,+100
72,2023-02-18,10:12:07,37,2023-02-18,16:30:00,NJ Devils,-1.5,+195
73,2023-02-18,10:12:07,37,2023-02-18,16:30:00,PIT Penguins,1.5,−275
74,2023-02-18,10:12:07,38,2023-02-18,17:00:00,CBJ Blue Jackets,1.5,−130
75,2023-02-18,10:12:07,38,2023-02-18,17:00:00,DAL Stars,-1.5,+105
76,2023-02-18,10:13:32,39,2023-02-18,18:00:00,MTL Canadiens,1.5,+125
77,2023-02-18,10:13:32,39,2023-02-18,18:00:00,TOR Maple Leafs,-1.5,−155
78,2023-02-18,10:13:32,40,2023-02-18,19:00:00,WAS Capitals,1.5,−155
79,2023-02-18,10:13:32,40,2023-02-18,19:00:00,CAR Hurricanes,-1.5,+125
80,2023-02-18,10:13:32,41,2023-02-18,21:00:00,NY Rangers,1.5,−220
81,2023-02-18,10:13:32,41,2023-02-18,21:00:00,CGY Flames,-1.5,+160
