date,game_id,team,G,OT_flag,win_flag
2021-01-13,211,COL,1,,0
2021-01-13,212,EDM,3,,0
2021-01-13,213,PHI,6,,1
2021-01-13,214,TBL,5,,1
2021-01-13,215,TOR,5,OT,1
2021-01-14,216,ARI,3,SO,0
2021-01-14,217,BUF,4,,0
2021-01-14,218,DET,0,,0
2021-01-14,219,EDM,5,,1
2021-01-14,2110,LAK,3,OT,0
2021-01-14,2111,NJD,2,SO,0
2021-01-14,2112,NSH,3,,1
2021-01-14,2113,NYR,0,,0
2021-01-14,2114,VGK,5,,1
2021-01-14,2115,WPG,4,OT,1
2021-01-15,2116,BUF,1,,0
2021-01-15,2117,COL,8,,1
2021-01-15,2118,OTT,5,,1
2021-01-15,2119,PHI,5,,1
2021-01-15,2120,TBL,5,,1
2021-01-16,2121,ARI,5,,1
2021-01-16,2122,CGY,3,,1
2021-01-16,2123,DET,4,,1
2021-01-16,2124,EDM,1,,0
2021-01-16,2125,LAK,3,OT,0
2021-01-16,2126,NJD,2,OT,1
2021-01-16,2127,NSH,5,,1
2021-01-16,2128,NYR,5,,1
2021-01-16,2129,OTT,2,,0
2021-01-16,2130,VGK,2,OT,1
2021-01-17,2131,FLA,5,,1
2021-01-17,2132,PIT,4,SO,1
2021-01-18,2133,ANA,1,,1
2021-01-18,2134,CGY,5,,1
2021-01-18,2135,DET,2,,0
2021-01-18,2136,EDM,1,,0
2021-01-18,2137,NSH,2,,0
2021-01-18,2138,NYI,1,,1
2021-01-18,2139,PHI,1,,0
2021-01-18,2140,STL,5,,1
2021-01-18,2141,TOR,3,,1
2021-01-18,2142,VGK,4,,1
2021-01-19,2143,DET,3,OT,1
2021-01-19,2144,FLA,5,OT,1
2021-01-19,2145,LAK,2,,0
2021-01-19,2146,NYR,3,,0
2021-01-19,2147,OTT,3,OT,0
2021-01-19,2148,PHI,3,,1
2021-01-19,2149,PIT,5,OT,1
2021-01-20,2150,ANA,2,,0
2021-01-20,2151,STL,1,SO,0
2021-01-20,2152,TOR,1,,0
2021-01-20,2153,VAN,6,SO,1
2021-01-20,2154,VGK,5,,1
2021-01-21,2155,BOS,5,SO,1
2021-01-21,2156,CBJ,2,OT,0
2021-01-21,2157,LAK,4,,1
2021-01-21,2158,NYI,4,,1
2021-01-21,2159,OTT,1,,0
2021-01-21,2160,VAN,3,,0
2021-01-22,2161,ANA,2,OT,0
2021-01-22,2162,ARI,5,,1
2021-01-22,2163,CHI,4,,1
2021-01-22,2164,DAL,7,,1
2021-01-22,2165,MIN,4,,1
2021-01-22,2166,PIT,4,SO,1
2021-01-22,2167,TOR,4,,1
2021-01-22,2168,WSH,4,SO,1
2021-01-23,2169,BOS,6,,1
2021-01-23,2170,CBJ,5,,1
2021-01-23,2171,STL,4,,1
2021-01-23,2172,VAN,2,,0
2021-01-23,2173,WPG,6,,1
2021-01-24,2174,ANA,3,,1
2021-01-24,2175,ARI,0,,0
2021-01-24,2176,CGY,2,,0
2021-01-24,2177,CHI,6,,1
2021-01-24,2178,DAL,3,,1
2021-01-24,2179,MIN,3,,0
2021-01-24,2180,NJD,2,,1
2021-01-24,2181,PIT,3,,1
2021-01-24,2182,STL,3,,0
2021-01-24,2183,WPG,3,,0
2021-01-24,2184,WSH,3,SO,0
2021-01-25,2185,VAN,7,,1
2021-01-26,2186,ARI,0,,0
2021-01-26,2187,BOS,3,OT,1
2021-01-26,2188,BUF,3,,1
2021-01-26,2189,CBJ,3,SO,0
2021-01-26,2190,CGY,3,,0
2021-01-26,2191,COL,7,,1
2021-01-26,2192,DAL,2,OT,1
2021-01-26,2193,MIN,1,,0
2021-01-26,2194,NJD,3,,0
2021-01-26,2195,NSH,3,OT,1
2021-01-26,2196,VGK,4,SO,0
2021-01-26,2197,WPG,6,,1
2021-01-26,2198,WSH,3,,1
2021-01-27,2199,NSH,2,SO,1
2021-01-27,21100,VAN,5,,1
2021-01-28,21101,ARI,3,,1
2021-01-28,21102,BOS,4,,1
2021-01-28,21103,BUF,2,OT,0
2021-01-28,21104,CAR,1,OT,1
2021-01-28,21105,CBJ,3,SO,1
2021-01-28,21106,COL,3,,1
2021-01-28,21107,DAL,7,,1
2021-01-28,21108,EDM,3,,0
2021-01-28,21109,MIN,5,,1
2021-01-28,21110,MTL,4,,1
2021-01-28,21111,NJD,1,,0
2021-01-28,21112,VAN,4,,1
2021-01-28,21113,WSH,6,,1
2021-01-29,21114,CHI,1,,0
2021-01-30,21115,ANA,1,,0
2021-01-30,21116,BUF,4,SO,1
2021-01-30,21117,CAR,4,,1
2021-01-30,21118,DET,2,OT,0
2021-01-30,21119,EDM,4,OT,1
2021-01-30,21120,MIN,1,,0
2021-01-30,21121,MTL,0,,0
2021-01-30,21122,NYR,4,OT,0
2021-01-30,21123,PHI,3,OT,1
2021-01-30,21124,TBL,4,,1
2021-01-30,21125,WPG,1,,0
2021-01-30,21126,WSH,4,OT,1
2021-01-31,21127,ANA,1,,0
2021-01-31,21128,BUF,3,,0
2021-01-31,21129,CAR,4,SO,1
2021-01-31,21130,CHI,3,,1
2021-01-31,21131,DET,2,,0
2021-01-31,21132,EDM,8,,1
2021-01-31,21133,MIN,4,OT,1
2021-01-31,21134,PHI,4,OT,1
2021-02-01,21135,MTL,6,,1
2021-02-01,21136,NYR,3,,1
2021-02-01,21137,TBL,5,,1
2021-02-01,21138,WPG,3,SO,0
2021-02-01,21139,WSH,3,,0
2021-02-02,21140,CBJ,3,,0
2021-02-02,21141,CHI,3,SO,0
2021-02-02,21142,COL,2,,1
2021-02-02,21143,EDM,4,,1
2021-02-02,21144,LAK,1,,0
2021-02-02,21145,MTL,5,,1
2021-02-02,21146,STL,4,,1
2021-02-02,21147,WPG,3,,1
2021-02-03,21148,PHI,3,OT,0
2021-02-03,21149,TBL,5,,1
2021-02-04,21150,CBJ,4,,1
2021-02-04,21151,CHI,6,,1
2021-02-04,21152,FLA,5,OT,0
2021-02-04,21153,MTL,2,,0
2021-02-04,21154,NYR,4,,1
2021-02-04,21155,STL,3,,0
2021-02-04,21156,TOR,7,,1
2021-02-04,21157,WPG,4,,1
2021-02-05,21158,ANA,4,SO,0
2021-02-05,21159,FLA,2,,1
2021-02-05,21160,PHI,1,,0
2021-02-05,21161,TBL,3,,1
2021-02-05,21162,VGK,5,,1
2021-02-06,21163,ANA,2,SO,1
2021-02-06,21164,CGY,6,,1
2021-02-06,21165,NYI,4,,1
2021-02-06,21166,OTT,1,,0
2021-02-06,21167,STL,1,,0
2021-02-06,21168,TOR,5,,1
2021-02-07,21169,CBJ,5,,0
2021-02-07,21170,DAL,1,OT,0
2021-02-07,21171,FLA,1,,0
2021-02-07,21172,VGK,4,,1
2021-02-07,21173,WSH,4,,0
2021-02-08,21174,CBJ,3,,1
2021-02-08,21175,NSH,1,,0
2021-02-08,21176,NYR,0,,0
2021-02-08,21177,OTT,1,,0
2021-02-08,21178,STL,3,SO,0
2021-02-08,21179,TOR,3,,1
2021-02-09,21180,CGY,3,,1
2021-02-09,21181,DAL,1,OT,0
2021-02-09,21182,FLA,2,,1
2021-02-09,21183,LAK,3,SO,0
2021-02-09,21184,NSH,1,,0
2021-02-09,21185,OTT,2,,0
2021-02-09,21186,VGK,5,,1
2021-02-10,21187,MTL,2,,0
