date,game_id,team,location,G,OT_flag,win_flag
2021-10-12,211012_TBLPIT,TBL,H,2,,0
2021-10-12,211012_VGKSEA,VGK,H,4,,1
2021-10-13,211013_ANAWPG,ANA,H,4,,1
2021-10-13,211013_COLCHI,COL,H,4,,1
2021-10-13,211013_EDMVAN,EDM,H,3,SO,1
2021-10-13,211013_TORMTL,TOR,H,2,,1
2021-10-13,211013_WSHNYR,WSH,H,5,,1
2021-10-14,211014_BUFMTL,BUF,H,5,,1
2021-10-14,211014_CARNYI,CAR,H,6,,1
2021-10-14,211014_CBJARI,CBJ,H,8,,1
2021-10-14,211014_DETTBL,DET,H,6,OT,0
2021-10-14,211014_FLAPIT,FLA,H,5,OT,1
2021-10-14,211014_LAKVGK,LAK,H,6,,1
2021-10-14,211014_NSHSEA,NSH,H,3,,0
2021-10-14,211014_NYRDAL,NYR,H,2,OT,0
2021-10-14,211014_OTTTOR,OTT,H,3,,1
2021-10-15,211015_ANAMIN,ANA,H,1,,0
2021-10-15,211015_NJDCHI,NJD,H,4,OT,1
2021-10-15,211015_PHIVAN,PHI,H,4,SO,0
2021-10-16,211016_BOSDAL,BOS,H,3,,1
2021-10-16,211016_BUFARI,BUF,H,2,SO,1
2021-10-16,211016_CBJSEA,CBJ,H,2,OT,1
2021-10-16,211016_COLSTL,COL,H,3,,0
2021-10-16,211016_DETVAN,DET,H,3,,1
2021-10-16,211016_EDMCGY,EDM,H,5,,1
2021-10-16,211016_FLANYI,FLA,H,5,,1
2021-10-16,211016_LAKMIN,LAK,H,2,,0
2021-10-16,211016_MTLNYR,MTL,H,1,,0
2021-10-16,211016_NSHCAR,NSH,H,2,,0
2021-10-16,211016_PITCHI,PIT,H,5,,1
2021-10-16,211016_SJSWPG,SJS,H,4,,1
2021-10-16,211016_TOROTT,TOR,H,3,,1
2021-10-16,211016_WSHTBL,WSH,H,1,OT,0
2021-10-17,211017_OTTDAL,OTT,H,3,,1
2021-10-18,211018_ARISTL,ARI,H,4,,0
2021-10-18,211018_CGYANA,CGY,H,2,OT,0
2021-10-18,211018_PHISEA,PHI,H,6,,1
2021-10-18,211018_TORNYR,TOR,H,1,OT,0
2021-10-19,211019_BUFVAN,BUF,H,5,,1
2021-10-19,211019_CHINYI,CHI,H,1,,0
2021-10-19,211019_DETCBJ,DET,H,4,,1
2021-10-19,211019_EDMANA,EDM,H,6,,1
2021-10-19,211019_MINWPG,MIN,H,6,OT,1
2021-10-19,211019_MTLSJS,MTL,H,0,,0
2021-10-19,211019_NJDSEA,NJD,H,4,,1
2021-10-19,211019_NSHLAK,NSH,H,2,,1
2021-10-19,211019_PITDAL,PIT,H,1,SO,0
2021-10-19,211019_TBLFLA,TBL,H,1,,0
2021-10-19,211019_WSHCOL,WSH,H,6,,1
2021-10-20,211020_PHIBOS,PHI,H,6,,1
2021-10-20,211020_VGKSTL,VGK,H,1,,0
2021-10-21,211021_ARIEDM,ARI,H,1,,0
2021-10-21,211021_CBJNYI,CBJ,H,3,OT,1
2021-10-21,211021_CHIVAN,CHI,H,1,,0
2021-10-21,211021_DETCGY,DET,H,0,,0
2021-10-21,211021_FLACOL,FLA,H,4,,1
2021-10-21,211021_MTLCAR,MTL,H,1,,0
2021-10-21,211021_NJDWSH,NJD,H,1,,0
2021-10-21,211021_NSHNYR,NSH,H,1,,0
2021-10-21,211021_OTTSJS,OTT,H,1,,0
2021-10-21,211021_WPGANA,WPG,H,5,,1
2021-10-22,211022_BUFBOS,BUF,H,1,,0
2021-10-22,211022_DALLAK,DAL,H,3,OT,1
2021-10-22,211022_TORSJS,TOR,H,3,,0
2021-10-22,211022_VGKEDM,VGK,H,3,,0
2021-10-23,211023_ARINYI,ARI,H,0,,0
2021-10-23,211023_CBJCAR,CBJ,H,1,,0
2021-10-23,211023_MINANA,MIN,H,4,OT,1
2021-10-23,211023_MTLDET,MTL,H,6,,1
2021-10-23,211023_NJDBUF,NJD,H,2,OT,1
2021-10-23,211023_OTTNYR,OTT,H,2,,0
2021-10-23,211023_PHIFLA,PHI,H,2,,0
2021-10-23,211023_PITTOR,PIT,H,7,,1
2021-10-23,211023_SEAVAN,SEA,H,2,,0
2021-10-23,211023_STLLAK,STL,H,7,,1
2021-10-23,211023_TBLCOL,TBL,H,3,SO,0
2021-10-23,211023_WPGNSH,WPG,H,6,,1
2021-10-23,211023_WSHCGY,WSH,H,3,OT,0
2021-10-24,211024_BOSSJS,BOS,H,4,,1
2021-10-24,211024_CHIDET,CHI,H,3,,0
2021-10-24,211024_MINNSH,MIN,H,2,,0
2021-10-24,211024_VGKNYI,VGK,H,0,,0
2021-10-25,211025_BUFTBL,BUF,H,5,,1
2021-10-25,211025_CARTOR,CAR,H,4,,1
2021-10-25,211025_CBJDAL,CBJ,H,4,,1
2021-10-25,211025_FLAARI,FLA,H,5,,1
2021-10-25,211025_NYRCGY,NYR,H,1,,0
2021-10-25,211025_OTTWSH,OTT,H,5,,0
2021-10-25,211025_STLLAK,STL,H,3,,1
2021-10-26,211026_ANAWPG,ANA,H,3,,0
2021-10-26,211026_COLVGK,COL,H,1,,0
2021-10-26,211026_NJDCGY,NJD,H,3,,0
2021-10-26,211026_NSHSJS,NSH,H,3,,1
2021-10-26,211026_PITTBL,PIT,H,1,,0
2021-10-26,211026_SEAMTL,SEA,H,5,,1
2021-10-26,211026_VANMIN,VAN,H,2,,0
2021-10-27,211027_CHITOR,CHI,H,2,OT,0
2021-10-27,211027_DALVGK,DAL,H,2,OT,0
2021-10-27,211027_EDMPHI,EDM,H,3,,0
2021-10-27,211027_FLABOS,FLA,H,4,,1
2021-10-27,211027_WSHDET,WSH,H,2,OT,0
