team,game_id,date,season,location,G,OT_status,win_flag
NSH,221007_NSHSJS,2022-10-07,2023,H,4,,1
SJS,221008_SJSNSH,2022-10-08,2023,H,2,,0
LAK,221011_LAKVGK,2022-10-11,2023,H,3,,0
NYR,221011_NYRTBL,2022-10-11,2023,H,3,,1
ANA,221012_ANASEA,2022-10-12,2023,H,5,OT,1
CAR,221012_CARCBJ,2022-10-12,2023,H,4,,1
COL,221012_COLCHI,2022-10-12,2023,H,5,,1
EDM,221012_EDMVAN,2022-10-12,2023,H,5,,1
MTL,221012_MTLTOR,2022-10-12,2023,H,4,,1
WSH,221012_WSHBOS,2022-10-12,2023,H,2,,0
BUF,221013_BUFOTT,2022-10-13,2023,H,4,,1
CGY,221013_CGYCOL,2022-10-13,2023,H,5,,1
LAK,221013_LAKSEA,2022-10-13,2023,H,1,,0
MIN,221013_MINNYR,2022-10-13,2023,H,3,,0
NSH,221013_NSHDAL,2022-10-13,2023,H,1,,0
NYI,221013_NYIFLA,2022-10-13,2023,H,1,,0
PHI,221013_PHINJD,2022-10-13,2023,H,5,,1
PIT,221013_PITARI,2022-10-13,2023,H,6,,1
TOR,221013_TORWSH,2022-10-13,2023,H,3,,1
VGK,221013_VGKCHI,2022-10-13,2023,H,1,,1
CBJ,221014_CBJTBL,2022-10-14,2023,H,2,,0
DET,221014_DETMTL,2022-10-14,2023,H,3,,1
SJS,221014_SJSCAR,2022-10-14,2023,H,1,,0
WPG,221014_WPGNYR,2022-10-14,2023,H,4,,1
BOS,221015_BOSARI,2022-10-15,2023,H,6,,1
BUF,221015_BUFFLA,2022-10-15,2023,H,3,,0
DAL,221015_DALNSH,2022-10-15,2023,H,5,,1
EDM,221015_EDMCGY,2022-10-15,2023,H,3,,0
MIN,221015_MINLAK,2022-10-15,2023,H,6,,0
NJD,221015_NJDDET,2022-10-15,2023,H,2,,0
NYI,221015_NYIANA,2022-10-15,2023,H,7,,1
PHI,221015_PHIVAN,2022-10-15,2023,H,3,,1
PIT,221015_PITTBL,2022-10-15,2023,H,6,,1
SEA,221015_SEAVGK,2022-10-15,2023,H,2,,0
SJS,221015_SJSCHI,2022-10-15,2023,H,2,,0
STL,221015_STLCBJ,2022-10-15,2023,H,5,,1
TOR,221015_TOROTT,2022-10-15,2023,H,3,,1
WSH,221015_WSHMTL,2022-10-15,2023,H,3,,1
BOS,221017_BOSFLA,2022-10-17,2023,H,5,,1
DAL,221017_DALWPG,2022-10-17,2023,H,4,,1
DET,221017_DETLAK,2022-10-17,2023,H,4,OT,0
MIN,221017_MINCOL,2022-10-17,2023,H,3,,0
MTL,221017_MTLPIT,2022-10-17,2023,H,3,OT,1
NYR,221017_NYRANA,2022-10-17,2023,H,6,,1
SEA,221017_SEACAR,2022-10-17,2023,H,1,,0
TOR,221017_TORARI,2022-10-17,2023,H,2,,0
WSH,221017_WSHVAN,2022-10-17,2023,H,6,,1
CBJ,221018_CBJVAN,2022-10-18,2023,H,4,OT,1
CGY,221018_CGYVGK,2022-10-18,2023,H,3,,1
EDM,221018_EDMBUF,2022-10-18,2023,H,2,,0
NJD,221018_NJDANA,2022-10-18,2023,H,4,,1
NSH,221018_NSHLAK,2022-10-18,2023,H,3,SO,0
NYI,221018_NYISJS,2022-10-18,2023,H,5,,1
OTT,221018_OTTBOS,2022-10-18,2023,H,7,,1
TBL,221018_TBLPHI,2022-10-18,2023,H,2,,0
COL,221019_COLWPG,2022-10-19,2023,H,3,OT,0
FLA,221019_FLAPHI,2022-10-19,2023,H,4,,1
SEA,221019_SEASTL,2022-10-19,2023,H,3,OT,0
BOS,221020_BOSANA,2022-10-20,2023,H,2,SO,1
CBJ,221020_CBJNSH,2022-10-20,2023,H,5,,1
CGY,221020_CGYBUF,2022-10-20,2023,H,3,,0
EDM,221020_EDMCAR,2022-10-20,2023,H,6,,1
MIN,221020_MINVAN,2022-10-20,2023,H,4,OT,1
MTL,221020_MTLARI,2022-10-20,2023,H,6,,1
NYI,221020_NYINJD,2022-10-20,2023,H,1,,0
NYR,221020_NYRSJS,2022-10-20,2023,H,2,OT,0
OTT,221020_OTTWSH,2022-10-20,2023,H,5,,1
PIT,221020_PITLAK,2022-10-20,2023,H,6,,1
TOR,221020_TORDAL,2022-10-20,2023,H,3,OT,1
VGK,221020_VGKWPG,2022-10-20,2023,H,5,,1
CHI,221021_CHIDET,2022-10-21,2023,H,4,OT,1
COL,221021_COLSEA,2022-10-21,2023,H,2,,0
FLA,221021_FLATBL,2022-10-21,2023,H,2,OT,0
BOS,221022_BOSMIN,2022-10-22,2023,H,4,OT,1
CBJ,221022_CBJPIT,2022-10-22,2023,H,3,,0
CGY,221022_CGYCAR,2022-10-22,2023,H,3,OT,1
EDM,221022_EDMSTL,2022-10-22,2023,H,0,,0
MTL,221022_MTLDAL,2022-10-22,2023,H,2,,0
NJD,221022_NJDSJS,2022-10-22,2023,H,2,,1
NSH,221022_NSHPHI,2022-10-22,2023,H,1,,0
OTT,221022_OTTARI,2022-10-22,2023,H,6,,1
TBL,221022_TBLNYI,2022-10-22,2023,H,5,,1
VAN,221022_VANBUF,2022-10-22,2023,H,1,,0
VGK,221022_VGKCOL,2022-10-22,2023,H,2,,0
WPG,221022_WPGTOR,2022-10-22,2023,H,1,,0
WSH,221022_WSHLAK,2022-10-22,2023,H,4,,1
CHI,221023_CHISEA,2022-10-23,2023,H,5,,1
DET,221023_DETANA,2022-10-23,2023,H,5,,1
FLA,221023_FLANYI,2022-10-23,2023,H,3,,1
NYR,221023_NYRCBJ,2022-10-23,2023,H,1,,0
PHI,221023_PHISJS,2022-10-23,2023,H,0,,0
EDM,221024_EDMPIT,2022-10-24,2023,H,6,,1
NJD,221024_NJDWSH,2022-10-24,2023,H,3,,0
OTT,221024_OTTDAL,2022-10-24,2023,H,4,,1
VAN,221024_VANCAR,2022-10-24,2023,H,2,,0
VGK,221024_VGKTOR,2022-10-24,2023,H,3,,1
WPG,221024_WPGSTL,2022-10-24,2023,H,4,,1
BOS,221025_BOSDAL,2022-10-25,2023,H,3,,1
CBJ,221025_CBJARI,2022-10-25,2023,H,3,,0
CGY,221025_CGYPIT,2022-10-25,2023,H,4,,1
CHI,221025_CHIFLA,2022-10-25,2023,H,4,,1
DET,221025_DETNJD,2022-10-25,2023,H,2,,0
LAK,221025_LAKTBL,2022-10-25,2023,H,4,,1
MTL,221025_MTLMIN,2022-10-25,2023,H,1,,0
NYR,221025_NYRCOL,2022-10-25,2023,H,2,SO,0
SEA,221025_SEABUF,2022-10-25,2023,H,5,,1
SJS,221025_SJSVGK,2022-10-25,2023,H,2,,0
ANA,221026_ANATBL,2022-10-26,2023,H,2,,0
NYI,221026_NYINYR,2022-10-26,2023,H,3,,1
STL,221026_STLEDM,2022-10-26,2023,H,1,,0
BOS,221027_BOSDET,2022-10-27,2023,H,5,,1
BUF,221027_BUFMTL,2022-10-27,2023,H,2,,0
CHI,221027_CHIEDM,2022-10-27,2023,H,5,,0
DAL,221027_DALWSH,2022-10-27,2023,H,2,,1
LAK,221027_LAKWPG,2022-10-27,2023,H,4,,0
NSH,221027_NSHSTL,2022-10-27,2023,H,6,,1
OTT,221027_OTTMIN,2022-10-27,2023,H,2,,0
PHI,221027_PHIFLA,2022-10-27,2023,H,4,,1
SEA,221027_SEAVAN,2022-10-27,2023,H,4,,0
SJS,221027_SJSTOR,2022-10-27,2023,H,4,OT,1
ARI,221028_ARIWPG,2022-10-28,2023,H,2,OT,0
CAR,221028_CARNYI,2022-10-28,2023,H,2,,0
CBJ,221028_CBJBOS,2022-10-28,2023,H,0,,0
NJD,221028_NJDCOL,2022-10-28,2023,H,1,,1
VAN,221028_VANPIT,2022-10-28,2023,H,5,,1
VGK,221028_VGKANA,2022-10-28,2023,H,4,,1
BUF,221029_BUFCHI,2022-10-29,2023,H,4,OT,1
CGY,221029_CGYEDM,2022-10-29,2023,H,2,,0
DAL,221029_DALNYR,2022-10-29,2023,H,3,,0
DET,221029_DETMIN,2022-10-29,2023,H,2,,1
FLA,221029_FLAOTT,2022-10-29,2023,H,5,,1
LAK,221029_LAKTOR,2022-10-29,2023,H,4,,1
NSH,221029_NSHWSH,2022-10-29,2023,H,0,,0
NYI,221029_NYICOL,2022-10-29,2023,H,5,,1
PHI,221029_PHICAR,2022-10-29,2023,H,3,OT,0
SEA,221029_SEAPIT,2022-10-29,2023,H,3,,1
SJS,221029_SJSTBL,2022-10-29,2023,H,3,,0
STL,221029_STLMTL,2022-10-29,2023,H,4,,0
ANA,221030_ANATOR,2022-10-30,2023,H,4,OT,1
ARI,221030_ARINYR,2022-10-30,2023,H,2,,0
CHI,221030_CHIMIN,2022-10-30,2023,H,3,SO,0
NJD,221030_NJDCBJ,2022-10-30,2023,H,7,,1
VGK,221030_VGKWPG,2022-10-30,2023,H,2,OT,1
BUF,221031_BUFDET,2022-10-31,2023,H,8,,1
CAR,221031_CARWSH,2022-10-31,2023,H,3,SO,1
STL,221031_STLLAK,2022-10-31,2023,H,1,,0
ARI,221101_ARIFLA,2022-11-01,2023,H,3,,1
CGY,221101_CGYSEA,2022-11-01,2023,H,4,,0
CHI,221101_CHINYI,2022-11-01,2023,H,1,,0
DAL,221101_DALLAK,2022-11-01,2023,H,5,,1
EDM,221101_EDMNSH,2022-11-01,2023,H,7,,1
MIN,221101_MINMTL,2022-11-01,2023,H,4,,1
NYR,221101_NYRPHI,2022-11-01,2023,H,1,OT,1
PIT,221101_PITBOS,2022-11-01,2023,H,5,OT,0
SJS,221101_SJSANA,2022-11-01,2023,H,5,SO,0
TBL,221101_TBLOTT,2022-11-01,2023,H,4,,1
VAN,221101_VANNJD,2022-11-01,2023,H,2,,0
WSH,221101_WSHVGK,2022-11-01,2023,H,2,OT,0
BUF,221102_BUFPIT,2022-11-02,2023,H,6,,1
TOR,221102_TORPHI,2022-11-02,2023,H,5,,1
ARI,221103_ARIDAL,2022-11-03,2023,H,2,,0
CGY,221103_CGYNSH,2022-11-03,2023,H,1,,0
CHI,221103_CHILAK,2022-11-03,2023,H,2,OT,1
DET,221103_DETWSH,2022-11-03,2023,H,3,,1
EDM,221103_EDMNJD,2022-11-03,2023,H,3,,0
MIN,221103_MINSEA,2022-11-03,2023,H,0,,0
NYR,221103_NYRBOS,2022-11-03,2023,H,2,,0
OTT,221103_OTTVGK,2022-11-03,2023,H,4,,0
SJS,221103_SJSFLA,2022-11-03,2023,H,3,SO,0
STL,221103_STLNYI,2022-11-03,2023,H,2,,0
TBL,221103_TBLCAR,2022-11-03,2023,H,3,SO,0
VAN,221103_VANANA,2022-11-03,2023,H,8,,1
WPG,221103_WPGMTL,2022-11-03,2023,H,3,OT,1
CAR,221104_CARBUF,2022-11-04,2023,H,5,,1
COL,221104_COLCBJ,2022-11-04,2023,H,6,,1
CBJ,221105_CBJCOL,2022-11-05,2023,H,1,,0
CGY,221105_CGYNJD,2022-11-05,2023,H,3,OT,0
DET,221105_DETNYI,2022-11-05,2023,H,3,,1
EDM,221105_EDMDAL,2022-11-05,2023,H,2,,0
LAK,221105_LAKFLA,2022-11-05,2023,H,5,,1
MTL,221105_MTLVGK,2022-11-05,2023,H,4,,0
OTT,221105_OTTPHI,2022-11-05,2023,H,1,,0
PIT,221105_PITSEA,2022-11-05,2023,H,2,,0
SJS,221105_SJSANA,2022-11-05,2023,H,4,SO,0
TBL,221105_TBLBUF,2022-11-05,2023,H,5,,1
TOR,221105_TORBOS,2022-11-05,2023,H,2,,1
VAN,221105_VANNSH,2022-11-05,2023,H,3,SO,0
WPG,221105_WPGCHI,2022-11-05,2023,H,4,,1
WSH,221105_WSHARI,2022-11-05,2023,H,2,,0
ANA,221106_ANAFLA,2022-11-06,2023,H,3,,0
CAR,221106_CARTOR,2022-11-06,2023,H,1,,0
NYR,221106_NYRDET,2022-11-06,2023,H,2,OT,0
BOS,221107_BOSSTL,2022-11-07,2023,H,3,,1
NYI,221107_NYICGY,2022-11-07,2023,H,4,OT,1
WSH,221107_WSHEDM,2022-11-07,2023,H,5,,1
BUF,221108_BUFARI,2022-11-08,2023,H,1,,0
DET,221108_DETMTL,2022-11-08,2023,H,2,SO,0
LAK,221108_LAKMIN,2022-11-08,2023,H,1,,1
NJD,221108_NJDCGY,2022-11-08,2023,H,3,,1
NYR,221108_NYRNYI,2022-11-08,2023,H,3,,0
OTT,221108_OTTVAN,2022-11-08,2023,H,4,,0
PHI,221108_PHISTL,2022-11-08,2023,H,5,,1
SEA,221108_SEANSH,2022-11-08,2023,H,5,,1
TBL,221108_TBLEDM,2022-11-08,2023,H,2,,0
TOR,221108_TORVGK,2022-11-08,2023,H,3,OT,0
WPG,221108_WPGDAL,2022-11-08,2023,H,5,,1
ANA,221109_ANAMIN,2022-11-09,2023,H,1,,0
FLA,221109_FLACAR,2022-11-09,2023,H,3,,1
MTL,221109_MTLVAN,2022-11-09,2023,H,5,,1
WSH,221109_WSHPIT,2022-11-09,2023,H,1,,0
BOS,221110_BOSCGY,2022-11-10,2023,H,3,,1
BUF,221110_BUFVGK,2022-11-10,2023,H,4,,0
CAR,221110_CAREDM,2022-11-10,2023,H,7,,1
CBJ,221110_CBJPHI,2022-11-10,2023,H,5,,1
COL,221110_COLNSH,2022-11-10,2023,H,5,,1
DET,221110_DETNYR,2022-11-10,2023,H,2,,0
LAK,221110_LAKCHI,2022-11-10,2023,H,2,OT,1
NJD,221110_NJDOTT,2022-11-10,2023,H,4,OT,1
NYI,221110_NYIARI,2022-11-10,2023,H,0,,0
STL,221110_STLSJS,2022-11-10,2023,H,5,,1
DAL,221111_DALSJS,2022-11-11,2023,H,4,,0
SEA,221111_SEAMIN,2022-11-11,2023,H,0,,0
TOR,221111_TORPIT,2022-11-11,2023,H,2,,0
WSH,221111_WSHTBL,2022-11-11,2023,H,5,,1
ANA,221112_ANACHI,2022-11-12,2023,H,2,,0
BUF,221112_BUFBOS,2022-11-12,2023,H,1,,0
CGY,221112_CGYWPG,2022-11-12,2023,H,3,,1
COL,221112_COLCAR,2022-11-12,2023,H,4,,1
FLA,221112_FLAEDM,2022-11-12,2023,H,2,,0
LAK,221112_LAKDET,2022-11-12,2023,H,4,,1
